stname,year,tot_pop
Alabama,1990,4152384
Alabama,1991,4877290
Alabama,1992,4517525
Alabama,1993,4449453
Alabama,1994,4665300
Alabama,1995,4986229
Alabama,1996,5101961
Alabama,1997,4955683
Alabama,1998,4490646
Alabama,1999,4685143
Alabama,2000,4452173
Alabama,2001,4467634
Alabama,2002,4480089
Alabama,2003,4503491
Alabama,2004,4530729
Alabama,2005,4569805
Alabama,2006,4628981
Alabama,2007,4672840
Alabama,2008,4718206
Alabama,2009,4757938
Alabama,2010,4785298
Alabama,2011,4801108
Alabama,2012,4816089
Alabama,2013,4830533
Alabama,2014,4846411
Alabama,2015,4858979
Alaska,1990,553290
Alaska,1991,618801
Alaska,1992,834359
Alaska,1993,645783
Alaska,1994,687625
Alaska,1995,612936
Alaska,1996,614724
Alaska,1997,677165
Alaska,1998,631113
Alaska,1999,685148
Alaska,2000,627963
Alaska,2001,633714
Alaska,2002,642337
Alaska,2003,648414
Alaska,2004,659286
Alaska,2005,666946
Alaska,2006,675302
Alaska,2007,680300
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,713985
Alaska,2011,722720
Alaska,2012,731228
Alaska,2013,737442
Alaska,2014,737046
Alaska,2015,738432
Arizona,1990,3684097
Arizona,1991,3994268
Arizona,1992,3915740
Arizona,1993,4109460
Arizona,1994,6720248
Arizona,1995,4432499
Arizona,1996,4860624
Arizona,1997,5544592
Arizona,1998,4972052
Arizona,1999,5514373
Arizona,2000,5160586
Arizona,2001,5273477
Arizona,2002,5396255
Arizona,2003,5510364
Arizona,2004,5652404
Arizona,2005,5839077
Arizona,2006,6029141
Arizona,2007,6167681
Arizona,2008,6280362
Arizona,2009,6343154
Arizona,2010,6413737
Arizona,2011,6468732
Arizona,2012,6553262
Arizona,2013,6630799
Arizona,2014,6728783
Arizona,2015,6828065
Arkansas,1990,2607076
Arkansas,1991,2718301
Arkansas,1992,2849724
Arkansas,1993,2515786
Arkansas,1994,2666087
Arkansas,1995,2831848
Arkansas,1996,2778946
Arkansas,1997,3007407
Arkansas,1998,2837306
Arkansas,1999,2796959
Arkansas,2000,2678588
Arkansas,2001,2691571
Arkansas,2002,2705927
Arkansas,2003,2724816
Arkansas,2004,2749686
Arkansas,2005,2781097
Arkansas,2006,2821761
Arkansas,2007,2848650
Arkansas,2008,2874554
Arkansas,2009,2896843
Arkansas,2010,2921606
Arkansas,2011,2938538
Arkansas,2012,2949499
Arkansas,2013,2957957
Arkansas,2014,2966835
Arkansas,2015,2978204
California,1990,31076565
California,1991,37051102
California,1992,31279846
California,1993,36305607
California,1994,32342265
California,1995,33654592
California,1996,33145237
California,1997,42782871
California,1998,35639357
California,1999,35115607
California,2000,33987977
California,2001,34479458
California,2002,34871843
California,2003,35253159
California,2004,35574576
California,2005,35827943
California,2006,36021202
California,2007,36250311
California,2008,36604337
California,2009,36961229
California,2010,37349363
California,2011,37700034
California,2012,38056055
California,2013,38414128
California,2014,38792291
California,2015,39144818
Colorado,1990,3787491
Colorado,1991,3429472
Colorado,1992,3649093
Colorado,1993,4504884
Colorado,1994,3780305
Colorado,1995,3959009
Colorado,1996,4010398
Colorado,1997,4518753
Colorado,1998,5211454
Colorado,1999,4580414
Colorado,2000,4326921
Colorado,2001,4425687
Colorado,2002,4490406
Colorado,2003,4528732
Colorado,2004,4575013
Colorado,2005,4631888
Colorado,2006,4720423
Colorado,2007,4803868
Colorado,2008,4889730
Colorado,2009,4972195
Colorado,2010,5049071
Colorado,2011,5119480
Colorado,2012,5191731
Colorado,2013,5271132
Colorado,2014,5355588
Colorado,2015,5456574
Connecticut,1990,3564447
Connecticut,1991,3478364
Connecticut,1992,4135084
Connecticut,1993,3309175
Connecticut,1994,3316121
Connecticut,1995,3430457
Connecticut,1996,4147685
Connecticut,1997,4454011
Connecticut,1998,3365352
Connecticut,1999,3386401
Connecticut,2000,3411777
Connecticut,2001,3432835
Connecticut,2002,3458749
Connecticut,2003,3484336
Connecticut,2004,3496094
Connecticut,2005,3506956
Connecticut,2006,3517460
Connecticut,2007,3527270
Connecticut,2008,3545579
Connecticut,2009,3561807
Connecticut,2010,3577073
Connecticut,2011,3589759
Connecticut,2012,3593541
Connecticut,2013,3597168
Connecticut,2014,3594762
Connecticut,2015,3590886
Delaware,1990,669567
Delaware,1991,1133923
Delaware,1992,694925
Delaware,1993,706378
Delaware,1994,847754
Delaware,1995,729734
Delaware,1996,740977
Delaware,1997,751487
Delaware,1998,763335
Delaware,1999,900601
Delaware,2000,786373
Delaware,2001,795699
Delaware,2002,806169
Delaware,2003,818003
Delaware,2004,830803
Delaware,2005,845150
Delaware,2006,859268
Delaware,2007,871749
Delaware,2008,883874
Delaware,2009,891730
Delaware,2010,899769
Delaware,2011,907916
Delaware,2012,917099
Delaware,2013,925353
Delaware,2014,935968
Delaware,2015,945934
District of Columbia,1990,605321
District of Columbia,1991,600870
District of Columbia,1992,1195130
District of Columbia,1993,595301
District of Columbia,1994,589239
District of Columbia,1995,580517
District of Columbia,1996,572377
District of Columbia,1997,567736
District of Columbia,1998,565230
District of Columbia,1999,570213
District of Columbia,2000,572046
District of Columbia,2001,574504
District of Columbia,2002,573158
District of Columbia,2003,568502
District of Columbia,2004,567754
District of Columbia,2005,567136
District of Columbia,2006,570681
District of Columbia,2007,574404
District of Columbia,2008,580236
District of Columbia,2009,592228
District of Columbia,2010,604453
District of Columbia,2011,620472
District of Columbia,2011,620472
District of Columbia,2012,635342
District of Columbia,2012,635342
District of Columbia,2013,649540
District of Columbia,2013,649540
District of Columbia,2014,659836
District of Columbia,2014,659836
District of Columbia,2015,672228
District of Columbia,2015,672228
Florida,1990,13321695
Florida,1991,14083806
Florida,1992,14396581
Florida,1993,15853516
Florida,1994,15663345
Florida,1995,14607962
Florida,1996,16209567
Florida,1997,18227186
Florida,1998,18553867
Florida,1999,17807525
Florida,2000,16047515
Florida,2001,16356966
Florida,2002,16689370
Florida,2003,17004085
Florida,2004,17415318
Florida,2005,17842038
Florida,2006,18166990
Florida,2007,18367842
Florida,2008,18527305
Florida,2009,18652644
Florida,2010,18843326
Florida,2011,19105533
Florida,2012,19352021
Florida,2013,19594467
Florida,2014,19905569
Florida,2015,20271272
Georgia,1990,6998560
Georgia,1991,7073884
Georgia,1992,7253826
Georgia,1993,8389550
Georgia,1994,7877089
Georgia,1995,7831181
Georgia,1996,8002741
Georgia,1997,8661736
Georgia,1998,9032723
Georgia,1999,8613779
Georgia,2000,8227303
Georgia,2001,8377038
Georgia,2002,8508256
Georgia,2003,8622793
Georgia,2004,8769252
Georgia,2005,8925922
Georgia,2006,9155813
Georgia,2007,9349988
Georgia,2008,9504843
Georgia,2009,9620846
Georgia,2010,9712587
Georgia,2011,9812280
Georgia,2012,9917639
Georgia,2013,9991562
Georgia,2014,10097132
Georgia,2015,10214860
Hawaii,1990,1113491
Hawaii,1991,2040643
Hawaii,1992,1267053
Hawaii,1993,1172838
Hawaii,1994,1187536
Hawaii,1995,1197018
Hawaii,1996,1345690
Hawaii,1997,1211640
Hawaii,1998,1215233
Hawaii,1999,1210300
Hawaii,2000,1213519
Hawaii,2001,1225948
Hawaii,2002,1239613
Hawaii,2003,1251154
Hawaii,2004,1273569
Hawaii,2005,1292729
Hawaii,2006,1309731
Hawaii,2007,1315675
Hawaii,2008,1332213
Hawaii,2009,1346717
Hawaii,2010,1363621
Hawaii,2011,1378227
Hawaii,2012,1392641
Hawaii,2013,1408765
Hawaii,2014,1420257
Hawaii,2015,1431603
Idaho,1990,1117629
Idaho,1991,1174528
Idaho,1992,1159743
Idaho,1993,1365737
Idaho,1994,1173039
Idaho,1995,1256849
Idaho,1996,1416862
Idaho,1997,1282703
Idaho,1998,1301154
Idaho,1999,1397262
Idaho,2000,1299430
Idaho,2001,1319962
Idaho,2002,1340372
Idaho,2003,1363380
Idaho,2004,1391802
Idaho,2005,1428241
Idaho,2006,1468669
Idaho,2007,1505105
Idaho,2008,1534320
Idaho,2009,1554439
Idaho,2010,1571450
Idaho,2011,1584134
Idaho,2012,1596097
Idaho,2013,1612785
Idaho,2014,1634806
Idaho,2015,1654930
Illinois,1990,12720189
Illinois,1991,11766984
Illinois,1992,12106716
Illinois,1993,12170560
Illinois,1994,12933616
Illinois,1995,18895161
Illinois,1996,12620774
Illinois,1997,12590625
Illinois,1998,12636683
Illinois,1999,12826208
Illinois,2000,12434161
Illinois,2001,12488445
Illinois,2002,12525556
Illinois,2003,12556006
Illinois,2004,12589773
Illinois,2005,12609903
Illinois,2006,12643955
Illinois,2007,12695866
Illinois,2008,12747038
Illinois,2009,12796778
Illinois,2010,12843166
Illinois,2011,12861882
Illinois,2012,12875167
Illinois,2013,12889580
Illinois,2014,12882189
Illinois,2015,12859995
Indiana,1990,5899521
Indiana,1991,6041134
Indiana,1992,6265948
Indiana,1993,6244286
Indiana,1994,6594770
Indiana,1995,7067953
Indiana,1996,6641558
Indiana,1997,6315219
Indiana,1998,6304078
Indiana,1999,6564006
Indiana,2000,6091866
Indiana,2001,6127760
Indiana,2002,6155967
Indiana,2003,6196638
Indiana,2004,6233007
Indiana,2005,6278616
Indiana,2006,6332669
Indiana,2007,6379599
Indiana,2008,6424806
Indiana,2009,6459325
Indiana,2010,6490621
Indiana,2011,6516845
Indiana,2012,6538283
Indiana,2013,6570518
Indiana,2014,6597880
Indiana,2015,6619680
Iowa,1990,2966244
Iowa,1991,2948727
Iowa,1992,3015071
Iowa,1993,3028310
Iowa,1994,3469370
Iowa,1995,3422229
Iowa,1996,3004474
Iowa,1997,3043677
Iowa,1998,3298664
Iowa,1999,3218155
Iowa,2000,2929067
Iowa,2001,2931997
Iowa,2002,2934234
Iowa,2003,2941999
Iowa,2004,2953635
Iowa,2005,2964454
Iowa,2006,2982644
Iowa,2007,2999212
Iowa,2008,3016734
Iowa,2009,3032870
Iowa,2010,3049883
Iowa,2011,3065389
Iowa,2012,3076636
Iowa,2013,3092224
Iowa,2014,3109481
Iowa,2015,3123899
Kansas,1990,2690695
Kansas,1991,3016220
Kansas,1992,3042481
Kansas,1993,2900083
Kansas,1994,2732128
Kansas,1995,2873044
Kansas,1996,2728834
Kansas,1997,2805009
Kansas,1998,2858747
Kansas,1999,2735459
Kansas,2000,2693681
Kansas,2001,2702162
Kansas,2002,2713535
Kansas,2003,2723004
Kansas,2004,2734373
Kansas,2005,2745299
Kansas,2006,2762931
Kansas,2007,2783785
Kansas,2008,2808076
Kansas,2009,2832704
Kansas,2010,2859169
Kansas,2011,2869917
Kansas,2012,2886281
Kansas,2013,2894630
Kansas,2014,2902507
Kansas,2015,2911641
Kentucky,1990,3881753
Kentucky,1991,4137133
Kentucky,1992,4089189
Kentucky,1993,3948548
Kentucky,1994,3999961
Kentucky,1995,4292245
Kentucky,1996,4939652
Kentucky,1997,4427329
Kentucky,1998,4353649
Kentucky,1999,4418192
Kentucky,2000,4049021
Kentucky,2001,4068132
Kentucky,2002,4089875
Kentucky,2003,4117170
Kentucky,2004,4146101
Kentucky,2005,4182742
Kentucky,2006,4219239
Kentucky,2007,4256672
Kentucky,2008,4289878
Kentucky,2009,4317074
Kentucky,2010,4346266
Kentucky,2011,4367882
Kentucky,2012,4382667
Kentucky,2013,4398500
Kentucky,2014,4412617
Kentucky,2015,4425092
Louisiana,1990,4329405
Louisiana,1991,4790536
Louisiana,1992,4734534
Louisiana,1993,4985703
Louisiana,1994,4643720
Louisiana,1995,4450521
Louisiana,1996,5113195
Louisiana,1997,4886201
Louisiana,1998,4579219
Louisiana,1999,5376176
Louisiana,2000,4471885
Louisiana,2001,4477875
Louisiana,2002,4497267
Louisiana,2003,4521042
Louisiana,2004,4552238
Louisiana,2005,4576628
Louisiana,2006,4302665
Louisiana,2007,4375581
Louisiana,2008,4435586
Louisiana,2009,4491648
Louisiana,2010,4544228
Louisiana,2011,4575381
Louisiana,2012,4603676
Louisiana,2013,4627491
Louisiana,2014,4648990
Louisiana,2015,4670724
Maine,1990,1284467
Maine,1991,1314053
Maine,1992,1257020
Maine,1993,1464231
Maine,1994,1696357
Maine,1995,1424045
Maine,1996,1249060
Maine,1997,1416936
Maine,1998,1292012
Maine,1999,1306111
Maine,2000,1277072
Maine,2001,1285692
Maine,2002,1295960
Maine,2003,1306513
Maine,2004,1313688
Maine,2005,1318787
Maine,2006,1323619
Maine,2007,1327040
Maine,2008,1330509
Maine,2009,1329590
Maine,2010,1327567
Maine,2011,1328257
Maine,2012,1328888
Maine,2013,1328778
Maine,2014,1330256
Maine,2015,1329328
Maryland,1990,6296809
Maryland,1991,5023306
Maryland,1992,5923217
Maryland,1993,5000110
Maryland,1994,5835039
Maryland,1995,5571323
Maryland,1996,5291270
Maryland,1997,5270891
Maryland,1998,5802441
Maryland,1999,5353008
Maryland,2000,5311034
Maryland,2001,5374691
Maryland,2002,5440389
Maryland,2003,5496269
Maryland,2004,5546935
Maryland,2005,5592379
Maryland,2006,5627367
Maryland,2007,5653408
Maryland,2008,5684965
Maryland,2009,5730388
Maryland,2010,5785982
Maryland,2011,5844171
Maryland,2012,5890740
Maryland,2013,5936040
Maryland,2014,5975346
Maryland,2015,6006401
Massachusetts,1990,6175519
Massachusetts,1991,6018470
Massachusetts,1992,6737815
Massachusetts,1993,7263816
Massachusetts,1994,8363598
Massachusetts,1995,6777450
Massachusetts,1996,6316413
Massachusetts,1997,7138713
Massachusetts,1998,6343091
Massachusetts,1999,6317345
Massachusetts,2000,6361104
Massachusetts,2001,6397634
Massachusetts,2002,6417206
Massachusetts,2003,6422565
Massachusetts,2004,6412281
Massachusetts,2005,6403290
Massachusetts,2006,6410084
Massachusetts,2007,6431559
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6557254
Massachusetts,2011,6611797
Massachusetts,2012,6657780
Massachusetts,2013,6708810
Massachusetts,2014,6755124
Massachusetts,2015,6794422
Michigan,1990,9451156
Michigan,1991,11055182
Michigan,1992,10441164
Michigan,1993,11060396
Michigan,1994,9966948
Michigan,1995,10179401
Michigan,1996,9862730
Michigan,1997,10481187
Michigan,1998,10916203
Michigan,1999,12437534
Michigan,2000,9952450
Michigan,2001,9991120
Michigan,2002,10015710
Michigan,2003,10041152
Michigan,2004,10055315
Michigan,2005,10051137
Michigan,2006,10036081
Michigan,2007,10001284
Michigan,2008,9946889
Michigan,2009,9901591
Michigan,2010,9877574
Michigan,2011,9876589
Michigan,2012,9886879
Michigan,2013,9900506
Michigan,2014,9916306
Michigan,2015,9922576
Minnesota,1990,4453297
Minnesota,1991,4852123
Minnesota,1992,5980684
Minnesota,1993,5003703
Minnesota,1994,4908498
Minnesota,1995,4848685
Minnesota,1996,4845869
Minnesota,1997,5145051
Minnesota,1998,4941630
Minnesota,1999,5963937
Minnesota,2000,4933692
Minnesota,2001,4982796
Minnesota,2002,5018935
Minnesota,2003,5053572
Minnesota,2004,5087713
Minnesota,2005,5119598
Minnesota,2006,5163555
Minnesota,2007,5207203
Minnesota,2008,5247018
Minnesota,2009,5281203
Minnesota,2010,5310584
Minnesota,2011,5348119
Minnesota,2012,5380443
Minnesota,2013,5420541
Minnesota,2014,5457125
Minnesota,2015,5489594
Mississippi,1990,2764876
Mississippi,1991,2900269
Mississippi,1992,2765951
Mississippi,1993,3196652
Mississippi,1994,2753904
Mississippi,1995,2950571
Mississippi,1996,3174213
Mississippi,1997,2910146
Mississippi,1998,3128249
Mississippi,1999,3192793
Mississippi,2000,2848353
Mississippi,2001,2852994
Mississippi,2002,2858681
Mississippi,2003,2868312
Mississippi,2004,2889010
Mississippi,2005,2905943
Mississippi,2006,2904978
Mississippi,2007,2928350
Mississippi,2008,2947806
Mississippi,2009,2958774
Mississippi,2010,2970036
Mississippi,2011,2977999
Mississippi,2012,2985660
Mississippi,2013,2990976
Mississippi,2014,2993443
Mississippi,2015,2992333
Missouri,1990,5619775
Missouri,1991,6027906
Missouri,1992,5461876
Missouri,1993,6376086
Missouri,1994,5672844
Missouri,1995,5822842
Missouri,1996,5758033
Missouri,1997,5669929
Missouri,1998,5808456
Missouri,1999,6641504
Missouri,2000,5607285
Missouri,2001,5641142
Missouri,2002,5674825
Missouri,2003,5709403
Missouri,2004,5747741
Missouri,2005,5790300
Missouri,2006,5842704
Missouri,2007,5887612
Missouri,2008,5923916
Missouri,2009,5961088
Missouri,2010,5996231
